Find outlier,Result,Index
22.08,0,1
22.67,0,2
29.58,0,3
21.67,0,4
20.17,0,5
15.83,0,6
17.42,0,7
58.67,0,8
27.83,0,9
55.75,0,10
33.5,0,11
41.42,0,12
20.67,0,13
34.92,0,14
58.58,0,15
48.08,0,16
29.58,0,17
18.92,0,18
20.0,0,19
22.42,0,20
28.17,0,21
19.17,0,22
41.17,0,23
41.58,0,24
19.5,0,25
32.75,0,26
22.5,0,27
33.17,0,28
30.67,0,29
23.08,0,30
27.0,0,31
20.42,0,32
52.33,0,33
23.08,0,34
42.83,0,35
74.83,1,36
25.0,0,37
39.58,0,38
47.75,0,39
47.42,0,40
23.17,0,41
22.58,0,42
26.75,0,43
63.33,0,44
23.75,0,45
20.75,0,46
24.5,0,47
16.17,0,48
29.5,0,49
52.83,0,50
32.33,0,51
21.08,0,52
28.17,0,53
19.0,0,54
27.58,0,55
27.83,0,56
40.0,0,57
37.33,0,58
42.5,0,59
56.75,0,60
43.17,0,61
23.75,0,62
18.5,0,63
40.83,0,64
24.5,0,65
42.0,0,66
19.5,0,67
21.5,0,68
31.25,0,69
27.25,0,70
48.75,0,71
30.42,0,72
29.42,0,73
28.25,0,74
40.25,0,75
36.5,0,76
25.58,0,77
29.83,0,78
23.08,0,79
32.17,0,80
25.17,0,81
35.17,0,82
18.58,0,83
39.92,0,84
23.42,0,85
37.58,0,86
24.75,0,87
47.0,0,88
34.17,0,89
22.17,0,90
27.75,0,91
42.75,0,92
28.67,0,93
36.25,0,94
18.17,0,95
21.25,0,96
38.92,0,97
31.83,0,98
17.33,0,99
20.42,0,100
39.08,0,101
38.67,0,102
27.67,0,103
27.75,0,104
19.0,0,105
25.0,0,106
27.67,0,107
22.25,0,108
49.83,0,109
32.33,0,110
38.25,0,111
47.33,0,112
27.83,0,113
35.75,0,114
33.58,0,115
34.08,0,116
20.75,0,117
33.17,0,118
22.75,0,119
48.75,0,120
40.58,0,121
20.67,0,122
38.75,0,123
57.08,0,124
31.25,0,125
22.0,0,126
58.33,0,127
28.92,0,128
46.0,0,129
21.0,0,130
24.75,0,131
20.83,0,132
24.58,0,133
26.5,0,134
40.92,0,135
38.33,0,136
19.58,0,137
39.25,0,138
25.75,0,139
46.08,0,140
19.67,0,141
22.25,0,142
18.83,0,143
64.08,0,144
16.5,0,145
68.67,1,146
76.75,1,147
15.92,0,148
34.83,0,149
47.42,0,150
23.17,0,151
45.17,0,152
15.17,0,153
18.83,0,154
52.5,0,155
19.17,0,156
18.0,0,157
37.5,0,158
22.67,0,159
47.83,0,160
34.08,0,161
33.08,0,162
43.08,0,163
34.5,0,164
42.75,0,165
18.25,0,166
23.08,0,167
22.5,0,168
17.92,0,169
18.42,0,170
27.67,0,171
18.92,0,172
22.67,0,173
62.5,0,174
23.5,0,175
35.25,0,176
56.83,0,177
53.33,0,178
41.17,0,179
42.17,0,180
41.17,0,181
33.75,0,182
25.67,0,183
24.33,0,184
23.33,0,185
30.67,0,186
37.17,0,187
26.25,0,188
29.75,0,189
23.0,0,190
17.25,0,191
29.25,0,192
28.58,0,193
34.58,0,194
23.42,0,195
25.0,0,196
18.75,0,197
17.08,0,198
16.08,0,199
32.92,0,200
20.33,0,201
21.75,0,202
33.17,0,203
25.33,0,204
24.75,0,205
30.83,0,206
20.75,0,207
40.33,0,208
29.42,0,209
40.92,0,210
29.5,0,211
54.42,0,212
34.0,0,213
25.0,0,214
26.58,0,215
33.08,0,216
33.67,0,217
36.17,0,218
19.5,0,219
24.17,0,220
30.5,0,221
20.0,0,222
25.33,0,223
29.58,0,224
43.17,0,225
28.75,0,226
31.57,0,227
20.25,0,228
45.0,0,229
22.83,0,230
20.67,0,231
27.83,0,232
40.92,0,233
56.42,0,234
64.08,0,235
22.42,0,236
24.33,0,237
69.5,1,238
35.58,0,239
48.33,0,240
28.08,0,241
35.17,0,242
49.5,0,243
80.25,1,244
29.25,0,245
16.92,0,246
16.0,0,247
60.08,0,248
28.0,0,249
41.5,0,250
24.08,0,251
24.5,0,252
34.75,0,253
33.67,0,254
40.83,0,255
20.42,0,256
37.5,0,257
48.5,0,258
23.0,0,259
35.0,0,260
16.33,0,261
22.67,0,262
21.75,0,263
25.08,0,264
36.33,0,265
28.58,0,266
22.17,0,267
34.17,0,268
35.0,0,269
28.58,0,270
19.17,0,271
23.25,0,272
16.5,0,273
20.08,0,274
22.33,0,275
34.0,0,276
57.08,0,277
16.25,0,278
32.83,0,279
48.25,0,280
34.17,0,281
18.33,0,282
44.25,0,283
38.92,0,284
31.58,0,285
25.08,0,286
65.42,0,287
41.33,0,288
31.25,0,289
36.75,0,290
32.33,0,291
31.92,0,292
24.83,0,293
21.92,0,294
34.25,0,295
51.83,0,296
31.57,0,297
38.42,0,298
39.17,0,299
18.17,0,300
39.0,0,301
20.0,0,302
32.75,0,303
18.58,0,304
15.83,0,305
39.33,0,306
19.58,0,307
21.33,0,308
22.67,0,309
25.67,0,310
21.08,0,311
49.0,0,312
20.67,0,313
19.67,0,314
21.83,0,315
26.83,0,316
38.58,0,317
50.08,0,318
15.75,0,319
